id_bien;code_departement_code_commune;numero_voie;b_t_q;type_voie;code_voie;voie;prefix_section;section;numero_plan;lot;surface_carrez;surface_reelle;surface_terrain;type_local;nombre_piece
0110334720A30212;01103;347;;RUE;20;DU CHATEAU;;A;302;12;48.22;48;;Appartement;3
0600441000CP186132;06004;4;;BD;1000;EDOUARD BAUDOIN;;CP;186;132;39.11;40;;Appartement;1
0608820B3975LS16999;06088;20;B;RUE;3975;MARCEAU;;LS;169;99;80.25;82;;Appartement;3
061235501011AO348242;06123;550;;RTE;1011;DES VESPINS RN7;;AO;348;242;27.51;27;;Appartement;1
130059300A084AW224218;13005;9300;;RES;A084;LES ARPEGES BD DES ABA;;AW;224;218;47.33;47;;Appartement;2
1302827791AB692;13028;27;;RUE;791;DU GRAND MADIER;;AB;69;2;25.31;24;;Appartement;1
132083607515843C21112;13208;360;;AV;7515;DU PRADO;843;C;21;112;70.84;70;;Appartement;3
132125076FA312873A971080;13212;5076;F;PARC;A312;DESSUARD;873;A;97;1080;67.19;66;;Appartement;3
1433811941090AC181155;14338;1194;;RUE;1090;DE NORMANDIE;;AC;181;155;18.89;19;;Appartement;1
14366301037BH9332;14366;30;;ALL;1037;DES NOISETIERS;;BH;93;32;105.37;99;;Maison;4
17300117190CZ1386;17300;11;;RUE;7190;ROUGET DE L ISLE;;CZ;138;6;31.99;34;;Appartement;2
2505613422MZ1436;25056;13;;RUE;422;BERTHE MORISOT;;MZ;143;6;96.21;100;;Maison;5
2923215185KI28305;29232;1;;RUE;5185;DU POHER;;KI;28;305;30.86;31;;Appartement;1
292602500BO1993;29260;2;;RUE;500;DES JARDINS;;BO;199;3;66.21;67;;Appartement;3
3155552238834AB1419;31555;5;;AV;2238;DU COMMANDANT TAILLANDIER;834;AB;141;9;45.58;46;;Appartement;2
33063157025EK2598;33063;15;;RUE;7025;PAUL DENUCE;;EK;259;8;23.2;27;;Appartement;1
