code_departement_code_commune;nom_commune;Population;code_departement;code_region
01001;L'Abergement-Clémenciat;798;1;84
01002;L'Abergement-de-Varey;257;1;84
01004;Ambérieu-en-Bugey;14514;1;84
01005;Ambérieux-en-Dombes;1776;1;84
01006;Ambléon;118;1;84
01007;Ambronay;2915;1;84
01008;Ambutrix;777;1;84
01009;Andert-et-Condon;335;1;84
01010;Anglefort;1122;1;84
01011;Apremont;379;1;84
01012;Aranc;333;1;84
01013;Arandas;147;1;84
01014;Arbent;3442;1;84
01015;Arboys en Bugey;667;1;84
01016;Arbigny;469;1;84
01017;Argis;473;1;84
01019;Armix;31;1;84
01021;Ars-sur-Formans;1485;1;84
01022;Artemare;1267;1;84
01023;Asnières-sur-Saône;76;1;84
01024;Attignat;3316;1;84
01025;Bâgé-Dommartin;4171;1;84
01026;Bâgé-le-Châtel;1041;1;84
01027;Balan;2615;1;84
01028;Baneins;634;1;84
01029;Beaupont;693;1;84
01030;Beauregard;844;1;84
01031;Bellignat;3886;1;84
01032;Béligneux;3405;1;84
01033;Valserhône;16728;1;84
01034;Belley;9582;1;84
01035;Belleydoux;318;1;84
01036;Valromey-sur-Séran;1345;1;84
01037;Bénonces;312;1;84
01038;Bény;775;1;84
01039;Béon;451;1;84
01040;Béréziat;496;1;84
01041;Bettant;769;1;84
01042;Bey;305;1;84
01043;Beynost;4867;1;84
01044;Billiat;648;1;84
01045;Birieux;287;1;84
01046;Biziat;903;1;84
01047;Blyes;1214;1;84
01049;La Boisse;3356;1;84
01050;Boissey;369;1;84
01051;Bolozon;92;1;84
01052;Bouligneux;334;1;84
01053;Bourg-en-Bresse;42853;1;84
01054;Bourg-Saint-Christophe;1489;1;84
01056;Boyeux-Saint-Jérôme;354;1;84
01057;Boz;535;1;84
01058;Brégnier-Cordon;849;1;84
01060;Brénod;514;1;84
01061;Brens;1179;1;84
01062;Bressolles;956;1;84
01063;Brion;540;1;84
01064;Briord;1090;1;84
01065;Buellas;1876;1;84
01066;La Burbanche;90;1;84
