Pays,Année,Female_Death_Per100K,Male_Death_Per100K,Total_Death_Per100K,Nbr_Death
Afghanistan,2016,15.31193,12.61297,13.92067,4824.353
Albania,2016,0.12552,0.2065,0.16641,4.86975
Algeria,2016,2.1989,1.72837,1.86723,758.21
Angola,2016,45.15024,52.62506,48.81467,14065.2
Antigua and Barbuda,2016,0.10419,0.12469,0.11403,0.11513
Argentina,2016,0.40251,0.32166,0.36294,159.1411
Armenia,2016,0.16495,0.19032,0.17688,5.17336
Australia,2016,0.11958,0.07103,0.09539,23.01346
Austria,2016,0.15099,0.09539,0.12375,10.78108
Azerbaijan,2016,0.95527,1.28588,1.11988,108.9128
Bahamas,2016,0.06681,0.07032,0.06853,0.26811
Bahrain,2016,0.04812,0.0344,0.0396,0.56435
Bangladesh,2016,13.829,10.0935,11.94467,19464.03
Barbados,2016,0.23025,0.09322,0.16462,0.46915
Belarus,2016,0.0529,0.05022,0.05165,4.89667
Belgium,2016,0.35482,0.20645,0.28179,32.00647
Belize,2016,0.89054,1.04043,0.96521,3.54188
Benin,2016,54.36152,65.12923,59.73005,6494.034
Bhutan,2016,4.5675,3.40449,3.94974,31.50916
Bolivia (Plurinational State of),2016,4.92742,6.22563,5.57744,607.2645
Bosnia and Herzegovina,2016,0.0809,0.07647,0.07872,2.76853
Botswana,2016,12.32162,11.19871,11.76669,264.7807
Brazil,2016,1.1192,0.97233,1.047,2174.623
Brunei Darussalam,2016,0.04411,0.04623,0.0452,0.19128
Bulgaria,2016,0.13516,0.12216,0.12884,9.18815
Burkina Faso,2016,53.73591,45.51959,49.64125,9256.325
Burundi,2016,66.77003,63.98737,65.40117,6882.901
Cabo Verde,2016,3.95605,4.31882,4.13675,22.32021
Cambodia,2016,6.32701,6.6208,6.47033,1019.877
Cameroon,2016,44.13828,46.16591,45.15287,10583.47
Canada,2016,0.44629,0.28836,0.36794,133.5263
Central African Republic,2016,74.73948,89.68932,82.11312,3772.784
Chad,2016,95.0259,107.04802,101.04312,14603.3
Chile,2016,0.23087,0.17412,0.20277,36.31498
China,2016,0.65809,0.49931,0.57632,8134.223
Colombia,2016,0.77409,0.73144,0.7531,366.4109
Comoros,2016,50.33907,51.12782,50.73689,403.6642
Congo,2016,33.89152,43.5214,38.70865,1984.138
